id_0000	95.6	94.78	5.66	8.49	83.55	73.6	66.97	30.81	60.59	60.68
id_0001	58.12	15.84	43.07	39.35	72.3	99.48	94.94	54.42	44.49	26.82
id_0002	3.59	2.74	46.49	31.85	38.0	89.18	52.58	56.05	23.61	2.39
id_0003	32.51	13.67	51.02	99.87	67.45	18.18	89.36	79.68	73.44	90.66
id_0004	76.29	78.97	35.38	98.1	96.19	16.12	75.4	71.52	46.14	53.04
id_0005	49.0	92.48	50.08	83.15	35.39	88.29	89.97	46.1	56.77	92.03
id_0006	72.38	48.66	22.18	32.47	69.96	16.61	90.79	26.81	91.14	30.96
id_0007	95.74	70.62	50.42	51.77	65.14	58.79	31.18	20.78	51.19	93.42
id_0008	62.33	7.54	82.04	72.59	90.77	19.14	74.48	5.88	65.29	27.31
id_0009	22.66	87.55	10.63	52.24	85.39	24.48	21.05	88.06	42.29	71.7
id_0010	3.19	36.24	17.19	67.28	8.29	95.46	2.53	72.94	2.11	25.57
id_0011	81.34	15.71	18.37	69.15	38.56	4.32	99.0	15.14	3.63	34.42
id_0012	61.52	74.25	11.31	33.72	3.08	44.87	76.6	73.99	90.2	75.57
id_0013	86.24	70.53	47.28	22.55	66.08	31.63	10.2	44.78	87.48	12.75
id_0014	58.5	39.3	51.48	14.38	95.97	25.91	60.61	41.98	1.8	55.8
id_0015	14.06	5.68	3.36	16.12	9.59	63.51	50.83	98.35	93.41	99.45
id_0016	23.25	44.47	25.08	59.12	62.42	80.02	70.95	25.66	42.3	52.62
id_0017	0.48	3.55	40.87	11.12	72.38	24.09	9.98	18.18	23.15	21.74
id_0018	52.07	46.44	30.97	64.18	21.24	90.66	96.31	72.89	43.37	51.15
id_0019	58.11	5.12	41.8	52.51	18.12	9.38	80.27	36.62	51.92	92.15
id_0020	61.05	28.96	98.35	37.22	1.91	68.53	10.12	30.59	84.06	67.26
id_0021	1.57	45.14	41.07	48.59	20.82	58.87	7.38	28.44	37.29	93.53
